reaction,value
CLPNH120pp,clpn120_p + h2o_p --> h_p + pa120_p + pg120_p
CRNabcpp,crn_p + atp_c + h2o_c --> crn_c + h_c + pi_c + adp_c
FE3HOXtonex,fe3hox_e + h_p --> fe3hox_p + h_c
FEOXAMR2,fmnh2_c + 2 feoxam_c --> 2 fe2_c + 2 h_c + fmn_c + 2 feoxam__un_c
FEOXAMR3,2 feoxam_c + rbflvrd_c --> 2 feoxam__un_c + 2 h_c + ribflv_c + 2 fe2_c
FEOXAMR1,fadh2_c + 2 feoxam_c --> 2 feoxam__un_c + fad_c + 2 h_c + 2 fe2_c
ACt4pp,na1_p + ac_p --> ac_c + na1_c
H2O2tex,h2o2_e <=> h2o2_p
OROTtex,orot_e <=> orot_p
MLTGY4pp,murein4px4p4p_p --> murein4px4p_p + anhgm4p_p
ADPRDP,adprib_c + h2o_c --> 2 h_c + r5p_c + amp_c
EX_glcr_e,glcr_e --> 
ACOATA,accoa_c + ACP_c <=> acACP_c + coa_c
SUCOAS,coa_c + atp_c + succ_c <=> pi_c + succoa_c + adp_c
APCS,ametam_c + 15dap_c --> 5mta_c + h_c + na15dap_c
EX_23cump_e,23cump_e --> 
EX_fe2_e,fe2_e <=> 
FE2tpp,fe2_p --> fe2_c
ENTCS,3 23dhba_c + 3 seramp_c --> enter_c + 9 h_c + 6 amp_c
GMHEPAT,h_c + gmhep1p_c + atp_c --> ppi_c + adphep__DD_c
EX_acald_e,acald_e --> 
PRATPP,prbatp_c + h2o_c --> h_c + ppi_c + prbamp_c
ACACt2pp,h_p + acac_p <=> h_c + acac_c
ICYSDS,iscs_c + cys__L_c --> ala__L_c + iscssh_c
LPLIPAL1A140pp,h2o_p + 1tdecg3p_p --> glyc3p_p + ttdca_p + h_p
PPAKr,adp_c + ppap_c <=> ppa_c + atp_c
EX_ac_e,ac_e --> 
CTBTabcpp,ctbt_p + h2o_c + atp_c --> h_c + ctbt_c + pi_c + adp_c
HG2abcpp,h2o_c + atp_c + hg2_c --> hg2_p + h_c + pi_c + adp_c
DDCAtexi,ddca_e --> ddca_p
PRAMPC,prbamp_c + h2o_c --> prfp_c
NTP3pp,h2o_p + gtp_p --> gdp_p + pi_p + h_p
GLUABUTt7pp,4abut_c + glu__L_p <=> 4abut_p + glu__L_c
ASO3t8pp,h2o_c + aso3_c + atp_c --> pi_c + aso3_p + adp_c + h_c
CYSS,h2s_c + acser_c --> cys__L_c + h_c + ac_c
EX_r5p_e,r5p_e --> 
FEOXAMexs,fe3_e + feoxam__un_e --> feoxam_e
EX_dmso_e,dmso_e --> 
HEXt2rpp,hxa_p + h_p <=> hxa_c + h_c
ANHMK,h2o_c + anhm_c + atp_c --> h_c + acmum6p_c + adp_c
DIMPtex,dimp_e <=> dimp_p
CBMKr,nh4_c + co2_c + atp_c <=> 2 h_c + cbp_c + adp_c
ARAI,arab__L_c <=> rbl__L_c
INSt2rpp,h_p + ins_p <=> h_c + ins_c
EX_f6p_e,f6p_e --> 
DCAtex,dca_e <=> dca_p
ASNt2rpp,h_p + asn__L_p <=> h_c + asn__L_c
MECDPS,2p4c2me_c --> cmp_c + 2mecdp_c
NACtex,nac_e <=> nac_p
ACALDtex,acald_e <=> acald_p
IMPC,imp_c + h2o_c <=> fprica_c
EX_k_e,k_e <=> 
3OAR161,nadph_c + 3ocpalm9eACP_c + h_c --> nadp_c + 3hcpalm9eACP_c
3OAR160,3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c
IMPD,nad_c + imp_c + h2o_c --> nadh_c + h_c + xmp_c
HOPNTAL,4h2opntn_c --> acald_c + pyr_c
CLIPAabctex,h2o_c + atp_c + lipa_cold_p --> h_c + lipa_cold_e + adp_c + pi_c
EX_acgal_e,acgal_e --> 
FE3tex,fe3_e <=> fe3_p
EX_dump_e,dump_e --> 
OMPHHX3,3 h2o_c + 2 atp_c + 2omph_c + nad_c --> nadh_c + 3 h_c + 2 pi_c + 2ombzl_c + 2 adp_c
ALDD19xr,h2o_c + pacald_c + nad_c <=> pac_c + nadh_c + 2 h_c
IPDDI,ipdp_c <=> dmpp_c
DURIPP,pi_c + duri_c <=> ura_c + 2dr1p_c
G3PItex,g3pi_e <=> g3pi_p
DALAt2pp,ala__D_p + h_p --> h_c + ala__D_c
EX_ocdca_e,ocdca_e --> 
DAPDC,h_c + 26dap__M_c --> lys__L_c + co2_c
SERASr,atp_c + h_c + ser__L_c <=> seramp_c + ppi_c
3OAS140,malACP_c + ddcaACP_c + h_c --> co2_c + ACP_c + 3omrsACP_c
3OAS141,malACP_c + h_c + cddec5eACP_c --> 3ocmrs7eACP_c + co2_c + ACP_c
ISETACtex,isetac_e <=> isetac_p
SPMS,ptrc_c + ametam_c --> 5mta_c + h_c + spmd_c
ASPCT,asp__L_c + cbp_c --> h_c + pi_c + cbasp_c
ATPS4rpp,4 h_p + pi_c + adp_c <=> h2o_c + 3 h_c + atp_c
PPPNt2rpp,pppn_p + h_p <=> h_c + pppn_c
PYDAMtpp,pydam_p --> pydam_c
EX_ni2_e,ni2_e <=> 
ACGAM1Ptex,acgam1p_e <=> acgam1p_p
NTP3,h2o_c + gtp_c --> gdp_c + h_c + pi_c
NTP1,atp_c + h2o_c --> pi_c + h_c + adp_c
DAGK181,12dgr181_c + atp_c --> pa181_c + h_c + adp_c
DAGK180,12dgr180_c + atp_c --> pa180_c + adp_c + h_c
PA120abcpp,pa120_c + h2o_c + atp_c --> pa120_p + h_c + pi_c + adp_c
INSTtex,inost_e <=> inost_p
FUM,fum_c + h2o_c <=> mal__L_c
OCTNLL,h_c + octa_c + atp_c --> octapb_c + amp_c + ppi_c
Kt2pp,h_p + k_p --> k_c + h_c
DAPE,26dap__LL_c <=> 26dap__M_c
APG3PAT181,glyc3p_c + ocdceap_c --> 1odec11eg3p_c + pi_c + h_c
TDPAGTA,glu__L_c + dtdp4d6dg_c --> dtdp4addg_c + akg_c
14GLUCANtexi,14glucan_e --> 14glucan_p
EX_glcur1p_e,glcur1p_e --> 
ABUTtex,4abut_e <=> 4abut_p
EX_ump_e,ump_e --> 
FRULYSDG,frulysp_c + h2o_c <=> lys__L_c + g6p_c
FMNAT,atp_c + fmn_c + h_c --> ppi_c + fad_c
GPDDA1pp,h2o_p + g3pc_p --> glyc3p_p + chol_p + h_p
AGM4PApp,h2o_p + anhgm4p_p --> anhgm_p + LalaDgluMdapDala_p
GTHOXtex,gthox_e <=> gthox_p
CCGS,atp_c + nh4_c + cdg_c --> h2o_c + adp_c + preq0_c + pi_c + h_c
ACPS1,coa_c + apoACP_c --> pap_c + ACP_c + h_c
IPPMIa,3c2hmp_c <=> 2ippm_c + h2o_c
EX_meoh_e,meoh_e --> 
TMPK,atp_c + thmmp_c --> adp_c + thmpp_c
SGDS,h2o_c + sucglu_c --> succ_c + glu__L_c
ACACT5r,dcacoa_c + accoa_c <=> 3oddcoa_c + coa_c
3HAD180,3hoctaACP_c --> h2o_c + toctd2eACP_c
3HAD181,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c
ASNNpp,h2o_p + asn__L_p --> nh4_p + asp__L_p
FRD2,mql8_c + fum_c --> mqn8_c + succ_c
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
PACALDt2rpp,h_p + pacald_p <=> pacald_c + h_c
EX_hg2_e,hg2_e --> 
SUCBZS,2shchc_c --> sucbz_c + h2o_c
ORPT,ppi_c + orot5p_c <=> orot_c + prpp_c
ALAGLUE,LalaDglu_c <=> LalaLglu_c
EX_akg_e,akg_e --> 
HISt2rpp,his__L_p + h_p <=> his__L_c + h_c
F6Ptex,f6p_e <=> f6p_p
EX_g1p_e,g1p_e --> 
SUCBZL,atp_c + coa_c + sucbz_c --> sbzcoa_c + amp_c + ppi_c
PGSA120,glyc3p_c + cdpdddecg_c --> h_c + cmp_c + pgp120_c
T2DECAI,tdec2eACP_c <=> cdec3eACP_c
ASR,aso4_c + 2 gthrd_c --> aso3_c + h2o_c + gthox_c
FACOAL181t2pp,h_p + coa_c + atp_c + ocdcea_p --> amp_c + odecoa_c + ppi_c + h_c
AST,succoa_c + arg__L_c --> coa_c + h_c + sucarg_c
5DGLCNt2rpp,h_p + 5dglcn_p <=> 5dglcn_c + h_c
OROTt2_2pp,2 h_p + orot_p --> 2 h_c + orot_c
ALCD19,glyald_c + nadh_c + h_c <=> glyc_c + nad_c
ALLabcpp,h2o_c + atp_c + all__D_p --> all__D_c + h_c + pi_c + adp_c
UACGALPpp,udpacgal_p + h2o_p --> 2 h_p + ump_p + acgal1p_p
FRULYSK,frulys_c + atp_c --> frulysp_c + adp_c + h_c
PPM2,2dr1p_c <=> 2dr5p_c
EX_leu__L_e,leu__L_e --> 
FRULYSE,psclys_c <=> frulys_c
EX_maltpt_e,maltpt_e --> 
GLCt2pp,h_p + glc__D_p --> glc__D_c + h_c
LIPAabcpp,atp_c + lipa_c + h2o_c --> lipa_p + pi_c + adp_c + h_c
GALCTNtex,galctn__D_e <=> galctn__D_p
IGPDH,eig3p_c --> imacp_c + h2o_c
TDPDRR,dtdp4d6dm_c + h_c + nadph_c --> dtdprmn_c + nadp_c
LEUabcpp,h2o_c + leu__L_p + atp_c --> h_c + leu__L_c + pi_c + adp_c
HYPOE,pyam5p_c + h2o_c --> pi_c + pydam_c
MAN6Ptex,man6p_e <=> man6p_p
GALM2pp,gal__bD_p --> gal_p
3HPPPNH,3hpppn_c + nadh_c + h_c + o2_c --> nad_c + dhpppn_c + h2o_c
ACPPAT181,pi_c + h_c + octeACP_c --> ACP_c + ocdceap_c
ACPPAT180,h_c + pi_c + ocdcaACP_c --> ocdcap_c + ACP_c
EX_halipa_e,halipa_e --> 
EX_cm_e,cm_e --> 
EX_xyl__D_e,xyl__D_e --> 
PLIPA1E140pp,h2o_p + pe140_p --> ttdca_p + 2agpe140_p + h_p
PLIPA2G120pp,h2o_p + pg120_p --> 1agpg120_p + h_p + ddca_p
GAMtex,gam_e <=> gam_p
DM_MTHTHF,mththf_c --> 
NADPHQR2,nadph_c + h_c + q8_c --> q8h2_c + nadp_c
FA161ACPHi,h2o_c + hdeACP_c --> h_c + ACP_c + hdcea_c
PGP120abcpp,h2o_c + pgp120_c + atp_c --> h_c + pi_c + adp_c + pgp120_p
ACMAMUT,uacmamu_c + unaga_c --> unagamu_c + h_c + udp_c
CYTD,h_c + cytd_c + h2o_c --> uri_c + nh4_c
NDPK8,atp_c + dadp_c <=> adp_c + datp_c
DSERDHr,ser__D_c + nadp_c <=> nadph_c + h_c + 2amsa_c
NDPK2,atp_c + udp_c <=> adp_c + utp_c
NDPK3,atp_c + cdp_c <=> ctp_c + adp_c
NDPK1,atp_c + gdp_c <=> adp_c + gtp_c
NDPK6,atp_c + dudp_c <=> adp_c + dutp_c
NDPK7,dcdp_c + atp_c <=> dctp_c + adp_c
ADOCBLabcpp,adocbl_p + atp_c + h2o_c --> h_c + adocbl_c + pi_c + adp_c
NDPK5,atp_c + dgdp_c <=> adp_c + dgtp_c
GLYC3Ptex,glyc3p_e <=> glyc3p_p
RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c
PLIPA2E180pp,pe180_p + h2o_p --> ocdca_p + h_p + 1agpe180_p
CA2t3pp,h_p + ca2_c --> h_c + ca2_p
SUCFUMtpp,succ_c + fum_p --> succ_p + fum_c
EX_manglyc_e,manglyc_e --> 
GLCURtex,glcur_e <=> glcur_p
GLCtex,glc__D_e <=> glc__D_p
NI2tex,ni2_e <=> ni2_p
EX_o2_e,o2_e <=> 
URAt2pp,h_p + ura_p --> h_c + ura_c
EX_pro__L_e,pro__L_e --> 
PGSA180,glyc3p_c + cdpdodecg_c --> h_c + pgp180_c + cmp_c
ALLTAMH,alltt_c + 2 h2o_c + 2 h_c --> 2 nh4_c + co2_c + urdglyc_c
MAN1PT2,gdp_c + man1p_c + h_c --> gdpmann_c + pi_c
3HAD40,3haACP_c --> but2eACP_c + h2o_c
2AGPGAT161,atp_c + hdcea_c + 2agpg161_c --> amp_c + pg161_c + ppi_c
2AGPEAT141,ttdcea_c + atp_c + 2agpe141_c --> pe141_c + amp_c + ppi_c
2AGPEAT140,ttdca_c + 2agpe140_c + atp_c --> amp_c + pe140_c + ppi_c
EX_malthx_e,malthx_e --> 
ARBTNR2,fmnh2_c + 2 arbtn__fe3_c --> 2 fe2_c + 2 h_c + 2 arbtn_c + fmn_c
ARBTNR3,2 arbtn__fe3_c + rbflvrd_c --> 2 fe2_c + 2 h_c + 2 arbtn_c + ribflv_c
THRPtex,thrp_e <=> thrp_p
ARBTNR1,fadh2_c + 2 arbtn__fe3_c --> 2 fe2_c + 2 h_c + fad_c + 2 arbtn_c
GHMT2r,ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
MLDCP1Bpp,h2o_p + murein4p4p_p --> ala__D_p + murein4p3p_p
MOAT2,ckdo_c + kdolipid4_c --> h_c + cmp_c + kdo2lipid4_c
BWCOS,mptamp_c + wco_c --> bwco_c + amp_c + cu2_c
N2Otpp,n2o_p <=> n2o_c
MANtex,man_e <=> man_p
ARGabcpp,atp_c + arg__L_p + h2o_c --> arg__L_c + h_c + pi_c + adp_c
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + nadh_c + h_c
AMPMS2,nad_c + h2o_c + air_c --> 2 for_c + nadh_c + 3 h_c + 4ampm_c
LPLIPAL2ATE120,2agpe120_c + pg120_c --> g3pe_c + apg120_c
EX_tmao_e,tmao_e --> 
IPDPS,h2mb4p_c + nadh_c + h_c --> h2o_c + ipdp_c + nad_c
EX_mal__L_e,mal__L_e --> 
LIPAMPL,lipoamp_c --> amp_c + lipopb_c
PLIPA1E181pp,pe181_p + h2o_p --> 2agpe181_p + h_p + ocdcea_p
THMabcpp,thm_p + atp_c + h2o_c --> h_c + thm_c + pi_c + adp_c
EX_cit_e,cit_e --> 
GAPD,nad_c + pi_c + g3p_c <=> 13dpg_c + nadh_c + h_c
DSBCGT,dsbcox_p + 2 gthrd_p --> gthox_p + dsbcrd_p
LPLIPAL2G160,h2o_c + 2agpg160_c --> hdca_c + g3pg_c + h_c
LPLIPAL2G161,2agpg161_c + h2o_c --> hdcea_c + g3pg_c + h_c
INOSTt4pp,inost_p + na1_p --> inost_c + na1_c
GMPtex,gmp_e <=> gmp_p
EAR40x,h_c + nadh_c + but2eACP_c --> nad_c + butACP_c
EAR40y,nadph_c + h_c + but2eACP_c --> butACP_c + nadp_c
3HPPtex,3hpp_e <=> 3hpp_p
CU2tex,cu2_e <=> cu2_p
GMPR,gmp_c + 2 h_c + nadph_c --> nh4_c + nadp_c + imp_c
EX_frulys_e,frulys_e --> 
XANt2pp,xan_p + h_p --> xan_c + h_c
3NTD2pp,h2o_p + 3ump_p --> pi_p + uri_p
PA140abcpp,h2o_c + atp_c + pa140_c --> pa140_p + h_c + pi_c + adp_c
DHPTPE,ahdt_c <=> dhmptp_c
THRD_L,thr__L_c --> 2obut_c + nh4_c
GLYOX,h2o_c + lgt__S_c --> lac__D_c + gthrd_c + h_c
FALDtpp,fald_p <=> fald_c
THRtex,thr__L_e <=> thr__L_p
NACtpp,nac_p --> nac_c
PAPA120,pa120_c + h2o_c --> pi_c + 12dgr120_c
AGM4PCP,h2o_c + anhgm4p_c --> anhgm3p_c + ala__D_c
CYSabc2pp,h2o_c + atp_c + cys__L_c --> h_c + cys__L_p + pi_c + adp_c
GHBDHx,sucsal_c + h_c + nadh_c <=> ghb_c + nad_c
AKGt2rpp,h_p + akg_p <=> akg_c + h_c
EX_arbtn__fe3_e,arbtn__fe3_e --> 
EX_34dhpac_e,34dhpac_e --> 
GALKr,atp_c + gal_c <=> gal1p_c + adp_c + h_c
ACACT6r,ddcacoa_c + accoa_c <=> coa_c + 3otdcoa_c
MALS,h2o_c + glx_c + accoa_c --> mal__L_c + coa_c + h_c
NTD11pp,imp_p + h2o_p --> pi_p + ins_p
ARBt3ipp,h_p + arab__L_c --> arab__L_p + h_c
XYLUtex,xylu__L_e <=> xylu__L_p
MALt3pp,mal__L_c + h_p --> mal__L_p + h_c
LIPAHTex,hdca_e + h_e + lipa_e --> halipa_e + h2o_e
NTD8pp,h2o_p + dgmp_p --> pi_p + dgsn_p
PTRCTA,ptrc_c + akg_c --> glu__L_c + 4abutn_c
DTMPtex,dtmp_e <=> dtmp_p
ECOAH8,3hodcoa_c <=> od2coa_c + h2o_c
ECOAH6,3htdcoa_c <=> td2coa_c + h2o_c
ECOAH7,3hhdcoa_c <=> hdd2coa_c + h2o_c
ECOAH4,3hdcoa_c <=> h2o_c + dc2coa_c
ECOAH5,3hddcoa_c <=> dd2coa_c + h2o_c
ECOAH2,3hhcoa_c <=> hx2coa_c + h2o_c
ECOAH3,3hocoa_c <=> h2o_c + oc2coa_c
ECOAH1,3hbcoa_c <=> h2o_c + b2coa_c
OP4ENH,op4en_c + h2o_c --> 4h2opntn_c
FA80ACPHi,ocACP_c + h2o_c --> octa_c + ACP_c + h_c
GRTT,ipdp_c + grdp_c --> ppi_c + frdp_c
G3PAT120,ddcaACP_c + glyc3p_c --> ACP_c + 1ddecg3p_c
ARBTptspp,pep_c + arbt_p --> arbt6p_c + pyr_c
CLPNH141pp,clpn141_p + h2o_p --> h_p + pa141_p + pg141_p
EX_ala__B_e,ala__B_e --> 
PE181abcpp,h2o_c + atp_c + pe181_c --> h_c + pi_c + pe181_p + adp_c
PNTK,pnto__R_c + atp_c --> adp_c + 4ppan_c + h_c
TYMtex,tym_e <=> tym_p
LIPOS,nad_c + h_c + octapb_c + 2 amet_c + 4fe4s_c --> nadh_c + lipopb_c + 2 met__L_c + 2 dad__5_c + 2fe2s_c + 2 fe2_c
NMNtex,nmn_e <=> nmn_p
ADOCBLtonex,adocbl_e + h_p --> adocbl_p + h_c
NO2tex,no2_e <=> no2_p
A5PISO,ru5p__D_c <=> ara5p_c
ARGSL,argsuc_c <=> fum_c + arg__L_c
LYSt2pp,lys__L_p + h_p --> lys__L_c + h_c
OBTFL,2obut_c + coa_c --> for_c + ppcoa_c
Ec_biomass_iJO1366_WT_53p95M,0.214798 pro__L_c + 0.004952 ca2_c + 2.5e-05 2fe2s_c + 0.246506 thr__L_c + 0.004126 so4_c + 0.000279 accoa_c + 7e-06 mobd_c + 0.000223 adocbl_c + 0.282306 ile__L_c + 0.005381 murein4p4p_p + 0.006388 fe2_c + 0.000223 sheme_c + 0.024732 pe161_p + 0.024805 datp_c + 0.008151 colipa_e + 0.000168 coa_c + 7e-06 mococdp_c + 0.18569 k_c + 0.000605 murein3px4p_p + 0.055234 trp__L_c + 0.092056 his__L_c + 0.437778 leu__L_c + 0.499149 ala__L_c + 2.4e-05 cobalt2_c + 0.140101 utp_c + 0.000335 nadph_c + 0.00229 clpn161_p + 0.209684 ser__L_c + 0.000223 thmpp_c + 7e-06 mocogdp_c + 0.234232 asp__L_c + 0.000324 zn2_c + 3e-06 lipopb_c + 0.007428 fe3_c + 0.000248 4fe4s_c + 0.411184 val__L_c + 0.133993 tyr__L_c + 0.008253 mg2_c + 0.00118 clpn181_p + 0.012747 pe181_p + 0.025612 dgtp_c + 0.001345 murein3p3p_p + 0.024805 dttp_c + 0.149336 met__L_c + 0.255712 glu__L_c + 0.000223 gthrd_c + 0.004892 pg160_p + 0.025612 dctp_c + 0.000116 bmocogdp_c + 0.003805 pg161_p + 0.180021 phe__L_c + 0.234232 asn__L_c + 0.154187 glycogen_c + 0.000658 mn2_c + 0.005707 pg160_c + 0.209121 gtp_c + 0.004439 pg161_c + 0.000223 pheme_c + 0.001961 pg181_p + 0.000223 amet_c + 0.000223 chor_c + 0.28742 arg__L_c + 0.03327 ptrc_c + 9.8e-05 succoa_c + 48.752916 h2o_c + 0.002288 pg181_c + 0.000223 10fthf_c + 5.5e-05 udcpdp_c + 3.1e-05 malcoa_c + 0.002944 clpn160_p + 0.004952 cl_c + 0.001787 nad_c + 4.5e-05 nadh_c + 0.006744 spmd_c + 0.000223 enter_c + 0.000223 mlthf_c + 0.255712 gln__L_c + 0.595297 gly_c + 0.000223 fad_c + 0.000674 cu2_c + 0.000223 thf_c + 0.000223 5mthf_c + 0.012366 pe160_c + 0.000223 2dmmql8_c + 0.000223 ribflv_c + 0.005448 murein4px4p_p + 0.009618 pe161_c + 0.012379 nh4_c + 0.000223 mql8_c + 0.000223 hemeO_c + 0.000223 q8h2_c + 0.333448 lys__L_c + 0.000307 ni2_c + 54.119975 atp_c + 0.031798 pe160_p + 0.000112 nadp_c + 0.000223 pydx5p_c + 0.000673 murein4px4px4p_p + 0.004957 pe181_c + 2e-06 btn_c + 0.088988 cys__L_c + 0.129799 ctp_c --> 53.95 adp_c + 0.749831 ppi_c + 53.95 h_c + 53.945874 pi_c
UAMAS,atp_c + ala__L_c + uamr_c --> uama_c + h_c + adp_c + pi_c
ARGSS,asp__L_c + citr__L_c + atp_c --> h_c + argsuc_c + amp_c + ppi_c
NO3R1pp,2 h_c + no3_c + q8h2_c --> h2o_c + 2 h_p + no2_c + q8_c
CRNDt2rpp,crn__D_p + h_p <=> h_c + crn__D_c
CLPNS160pp,2 pg160_p <=> glyc_p + clpn160_p
PNTOt4pp,na1_p + pnto__R_p --> pnto__R_c + na1_c
PGP180abcpp,h2o_c + pgp180_c + atp_c --> h_c + pgp180_p + adp_c + pi_c
EX_dgsn_e,dgsn_e --> 
EX_doxrbcn_e,doxrbcn_e --> 
EX_thr__L_e,thr__L_e --> 
EX_orot_e,orot_e --> 
MOX,mal__L_c + o2_c <=> oaa_c + h2o2_c
UGMDDS,alaala_c + ugmd_c + atp_c --> h_c + pi_c + ugmda_c + adp_c
EX_sel_e,sel_e <=> 
4PEPTtex,LalaDgluMdapDala_e <=> LalaDgluMdapDala_p
GTPHs,h2o_c + gtp_c + h_c --> xtp_c + nh4_c
ASNN,h2o_c + asn__L_c --> asp__L_c + nh4_c
PLIPA1A140pp,h2o_p + pa140_p --> ttdca_p + 2tdecg3p_p
PHEMEabcpp,h2o_c + pheme_c + atp_c --> h_c + pi_c + pheme_p + adp_c
MLTGY1pp,murein4p4p_p --> 2 anhgm4p_p
MANAO,mana_c + nad_c <=> fruur_c + nadh_c + h_c
EX_colipap_e,colipap_e --> 
LPLIPAL1G160pp,h2o_p + 1agpg160_p --> hdca_p + h_p + g3pg_p
CBMD,2 h_c + cbm_c --> co2_c + nh4_c
ADEtex,ade_e <=> ade_p
FE3DCITtonex,h_p + fe3dcit_e --> fe3dcit_p + h_c
ACKr,atp_c + ac_c <=> adp_c + actp_c
RIBtex,rib__D_e <=> rib__D_p
DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c
DGSNt2pp,h_p + dgsn_p --> dgsn_c + h_c
PPC,pep_c + h2o_c + co2_c --> h_c + oaa_c + pi_c
PPA,ppi_c + h2o_c --> 2 pi_c + h_c
FDH5pp,mqn8_c + 2 h_c + for_p --> h_p + mql8_c + co2_p
RZ5PP,5prdmbz_c + h2o_c --> rdmbzi_c + pi_c
12DGR180tipp,12dgr180_p --> 12dgr180_c
GLYBt2pp,glyb_p + h_p --> glyb_c + h_c
EX_3cmp_e,3cmp_e --> 
PPS,h2o_c + pyr_c + atp_c --> pep_c + 2 h_c + amp_c + pi_c
PGPP181pp,pgp181_p + h2o_p --> pg181_p + pi_p
GPDDA4,h2o_c + g3pg_c --> glyc_c + glyc3p_c + h_c
GPDDA5,g3pi_c + h2o_c --> inost_c + glyc3p_c + h_c
PRAGSr,gly_c + pram_c + atp_c <=> h_c + gar_c + pi_c + adp_c
GPDDA1,g3pc_c + h2o_c --> glyc3p_c + chol_c + h_c
ATHRDHr,athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c
GPDDA3,h2o_c + g3ps_c --> h_c + ser__L_c + glyc3p_c
GLYCAt2rpp,glyc__R_p + h_p <=> glyc__R_c + h_c
SKMt2pp,h_p + skm_p --> h_c + skm_c
OCDCAtexi,ocdca_e --> ocdca_p
XANtpp,xan_p <=> xan_c
EX_ala__D_e,ala__D_e --> 
H2Otex,h2o_e <=> h2o_p
EX_gua_e,gua_e --> 
PLIPA2G161pp,pg161_p + h2o_p --> 1agpg161_p + hdcea_p + h_p
ZN2t3pp,zn2_c + h_p --> zn2_p + h_c
SDPTA,sl26da_c + akg_c <=> glu__L_c + sl2a6o_c
POR5,pyr_c + 2 flxso_c + coa_c <=> accoa_c + co2_c + h_c + 2 flxr_c
GLUSy,gln__L_c + akg_c + h_c + nadph_c --> nadp_c + 2 glu__L_c
EX_4abut_e,4abut_e --> 
CPGNR2,2 cpgn_c + fmnh2_c --> 2 fe2_c + 2 cpgn__un_c + 2 h_c + fmn_c
CPGNR3,2 cpgn_c + rbflvrd_c --> 2 fe2_c + 2 h_c + 2 cpgn__un_c + ribflv_c
CRNCBCT,ctbtcoa_c + crn_c <=> crncoa_c + ctbt_c
CPGNR1,2 cpgn_c + fadh2_c --> 2 fe2_c + 2 cpgn__un_c + 2 h_c + fad_c
BPNT,pap_c + h2o_c --> pi_c + amp_c
NI2abcpp,ni2_c + atp_c + h2o_c --> h_c + ni2_p + pi_c + adp_c
ETHSO3tex,ethso3_e <=> ethso3_p
FMNRx,nadh_c + fmn_c + h_c --> nad_c + fmnh2_c
CBLAT,cbl1_c + h_c + atp_c <=> adocbl_c + pppi_c
EX_ins_e,ins_e --> 
LPLIPAL1E160pp,h2o_p + 1agpe160_p --> g3pe_p + hdca_p + h_p
PROTRS,trnapro_c + atp_c + pro__L_c --> amp_c + ppi_c + protrna_c
GLYTRS,gly_c + trnagly_c + atp_c --> amp_c + glytrna_c + ppi_c
CA2tex,ca2_e <=> ca2_p
EX_uri_e,uri_e --> 
LPLIPAL1A181pp,1odec11eg3p_p + h2o_p --> glyc3p_p + h_p + ocdcea_p
APPLDHr,h_c + aact_c + nadh_c <=> nad_c + appl_c
PGP161abcpp,h2o_c + pgp161_c + atp_c --> h_c + pi_c + adp_c + pgp161_p
3OAR40,actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c
FLVRx,ribflv_c + nadh_c + h_c --> nad_c + rbflvrd_c
DURItex,duri_e <=> duri_p
ThDPAT,thmpp_c + h_c + adp_c --> pi_c + athtp_c
FA140ACPHi,h2o_c + myrsACP_c --> ttdca_c + h_c + ACP_c
EX_14glucan_e,14glucan_e --> 
CU2abcpp,h2o_c + cu2_c + atp_c --> cu2_p + h_c + pi_c + adp_c
BUTSO3tex,butso3_e <=> butso3_p
MDDEP1pp,h2o_p + murein4px4p_p --> murein4p4p_p
SUCDi,q8_c + succ_c --> fum_c + q8h2_c
ILEabcpp,h2o_c + atp_c + ile__L_p --> adp_c + h_c + ile__L_c + pi_c
CLPNS161pp,2 pg161_p <=> glyc_p + clpn161_p
EX_adn_e,adn_e --> 
3UMPtex,3ump_e <=> 3ump_p
EX_ura_e,ura_e --> 
NADS1,nh4_c + dnad_c + atp_c --> nad_c + amp_c + ppi_c + h_c
RIBabcpp,h2o_c + atp_c + rib__D_p --> rib__D_c + h_c + pi_c + adp_c
PLIPA2E161pp,h2o_p + pe161_p --> h_p + hdcea_p + 1agpe161_p
EX_udpacgal_e,udpacgal_e --> 
LPLIPAL2E141,h2o_c + 2agpe141_c --> ttdcea_c + h_c + g3pe_c
MSO3abcpp,h2o_c + atp_c + mso3_p --> h_c + mso3_c + pi_c + adp_c
NAt3pp,h_p + na1_c --> na1_p + h_c
2AGPGAT181,atp_c + 2agpg181_c + ocdcea_c --> pg181_c + amp_c + ppi_c
2AGPGAT180,atp_c + 2agpg180_c + ocdca_c --> amp_c + pg180_c + ppi_c
CUtex,cu_e <=> cu_p
LGTHL,mthgxl_c + gthrd_c --> lgt__S_c
PLIPA1A141pp,pa141_p + h2o_p --> ttdcea_p + 2tdec7eg3p_p
EX_LalaLglu_e,LalaLglu_e --> 
