reaction,value
ASNS1,asp__L_c + h2o_c + atp_c + gln__L_c --> glu__L_c + asn__L_c + amp_c + ppi_c + h_c
EX_his__L_e,his__L_e --> 
LPLIPAL1E120pp,1agpe120_p + h2o_p --> ddca_p + g3pe_p + h_p
PSSA120,ser__L_c + cdpdddecg_c --> ps120_c + h_c + cmp_c
ACPPAT141,tdeACP_c + pi_c + h_c --> ACP_c + ttdceap_c
ACPPAT140,h_c + pi_c + myrsACP_c --> ACP_c + ttdcap_c
LCTStpp,lcts_p + h_p <=> lcts_c + h_c
THYMtex,thym_e <=> thym_p
GLYBtex,glyb_e <=> glyb_p
EX_no2_e,no2_e --> 
FACOAL120t2pp,atp_c + h_p + ddca_p + coa_c --> ddcacoa_c + ppi_c + amp_c + h_c
EX_ca2_e,ca2_e <=> 
NADPPPS,h2o_c + nadp_c --> pi_c + nad_c
EGMEACPR,nadph_c + h_c + egmeACP_c --> nadp_c + gmeACP_c
EX_galctn__L_e,galctn__L_e --> 
HCINNMt2rpp,h_p + 3hcinnm_p <=> 3hcinnm_c + h_c
EX_fe3hox_e,fe3hox_e --> 
FECRMabcpp,h2o_c + fecrm_p + atp_c --> fecrm_c + pi_c + adp_c + h_c
LALADGLUtex,LalaDglu_e <=> LalaDglu_p
NHFRBO,h_c + nadh_c + 2 no_c --> nad_c + n2o_c + h2o_c
EX_lipa_cold_e,lipa_cold_e --> 
ACGAM1PPpp,acgam1p_p + h2o_p --> acgam_p + pi_p
DHPPDA2,h2o_c + 25drapp_c + h_c --> 5apru_c + nh4_c
SELtex,sel_e <=> sel_p
EX_tartr__D_e,tartr__D_e --> 
GTHRDabc2pp,h2o_c + atp_c + gthrd_c --> h_c + gthrd_p + adp_c + pi_c
O16GLCT1,udpg_c + aragund_c --> garagund_c + udp_c + h_c
EX_tma_e,tma_e --> 
EX_dca_e,dca_e --> 
DCYTtex,dcyt_e <=> dcyt_p
ASNTRS,asn__L_c + trnaasn_c + atp_c --> amp_c + ppi_c + asntrna_c
CPGNUtex,h_p + cpgn__un_p --> cpgn__un_e + h_c
RNTR4c2,utp_c + 2 h_c + 2 flxr_c --> dutp_c + h2o_c + 2 flxso_c
PE160abcpp,h2o_c + atp_c + pe160_c --> h_c + pe160_p + adp_c + pi_c
PGSA181,cdpdodec11eg_c + glyc3p_c --> h_c + pgp181_c + cmp_c
EX_lcts_e,lcts_e --> 
GLCNtex,glcn_e <=> glcn_p
UDPGALM,udpgal_c --> udpgalfur_c
PGAMT,gam1p_c <=> gam6p_c
FE2tex,fe2_e <=> fe2_p
ADNUC,adn_c + h2o_c --> rib__D_c + ade_c
2AGPE120tipp,2agpe120_p --> 2agpe120_c
TARTRt7pp,succ_c + tartr__L_p <=> succ_p + tartr__L_c
2AGPA161tipp,2hdec9eg3p_p --> 2hdec9eg3p_c
EX_phe__L_e,phe__L_e --> 
ADK1,atp_c + amp_c <=> 2 adp_c
UAG2E,uacgam_c <=> uacmam_c
