,aerobic,anaerobic
b0450,3.5594,0.0
b0451,12.3499,21.5374
b0452,121.17166666666667,98.99219999999998
b0453,575.3196666666666,51.6395
b0454,86.81023333333333,212.05566666666664
b0456,21.87986666666667,7.113833333333333
b0457,31.529899999999998,27.536833333333334
b0458,272.6493333333333,30.650166666666667
b0459,81.71403333333335,47.393466666666676
b0460,780.0083333333333,646.2303333333333
b0461,229.12666666666667,111.82346666666668
b0462,358.61100000000005,333.7423333333333
b0463,364.1103333333333,342.2183333333333
b0464,60.266533333333335,30.66173333333333
b0465,73.24676666666666,95.52553333333333
b0466,75.51666666666667,39.9872
b0467,46.2482,77.0859
b0468,64.39453333333334,42.70773333333333
b0469,485.09799999999996,369.17533333333336
b0470,125.02066666666667,175.12866666666665
b0471,871.6463333333332,793.5803333333333
b0472,451.84566666666666,528.5016666666667
b0473,368.54466666666667,301.99666666666667
b0474,1448.8799999999999,2504.72
b0475,63.02373333333333,51.92676666666667
b0476,7.919263333333333,18.58832
b0477,124.91766666666666,96.3491
b0478,97.72313333333334,55.33646666666667
b0479,54.393766666666664,32.59686666666667
b0480,140.101,123.94833333333334
b0481,150.52066666666667,171.2586666666667
b0482,73.24499999999999,103.6827
b0483,353.483,184.61933333333332
b0484,268.9406666666667,108.80113333333334
b0485,52.97813333333334,87.20543333333335
b0486,60.19466666666667,104.82856666666667
b0487,117.72179999999999,229.48233333333334
b0488,47.9882,132.57673333333332
b0489,95.51953333333334,155.50933333333333
b0490,68.2642,105.05310000000001
b0491,58.6359,102.0018
b0492,303.3333333333333,325.5566666666667
b0493,117.37833333333333,113.24643333333334
b0494,110.79066666666665,114.08573333333334
b0495,44.715466666666664,58.348733333333335
b0496,21.226333333333333,30.7392
b0497,7.552946666666667,18.0415
b0498,18.614433333333334,1.6600033333333333
b0499,4.08105,6.469956666666666
b0501,4.418326666666666,3.061246666666667
b0502,26.973133333333333,28.426500000000004
b0503,18.637900000000002,34.29046666666667
b0504,2.7444233333333337,7.4761999999999995
b0505,11.533783333333332,17.522333333333332
b0506,342.9926666666667,315.44533333333334
b0507,5.700770000000001,7.061943333333335
b0508,3.7046266666666674,0.7575066666666667
b0509,3.91886,5.45637
b0511,0.5534126666666667,0.36855333333333334
b0512,4.248253333333333,4.851
b0513,7.048376666666667,1.4043716666666668
b0514,6.429656666666666,12.033866666666666
b0515,65.2743,92.4676
b0516,14.290366666666666,13.896526666666668
b0517,1.4265886666666665,1.1461833333333333
b0518,0.8109783333333332,0.222151
b0520,3.0307833333333334,4.13937
b0521,2.8072733333333333,9.959593333333332
b0522,498.2436666666667,593.3136666666668
b0523,400.1433333333334,685.6656666666667
b0524,127.18866666666666,117.38499999999999
b0525,1840.4366666666665,1652.6166666666668
b0526,241.71166666666667,214.383
b0527,5.44269,9.874023333333334
b0528,308.56,429.7576666666667
b0529,388.0623333333333,435.59233333333333
